Vatten_ID,EU_CD,Station,Obspoint_ID,Longitude,Latitude,Date,Time,Institution,Depth,BenthicInvertebratesASPT,BenthicInvertebratesMILA,BenthicInvertebratesBQI
WA42559716,SE672467-148031,Spjutsjön,Spjutsjön,,,2002-10-21,,SLU,0.5,6.111,65.408,
WA42559716,SE672467-148031,Spjutsjön,Spjutsjön,,,2002-10-21,,SLU,19.5,,,3
WA42559716,SE672467-148031,Spjutsjön,Spjutsjön,,,2003-10-09,,SLU,0.5,6.158,70.124,
WA42559716,SE672467-148031,Spjutsjön,Spjutsjön,,,2003-10-09,,SLU,20,,,3.01
WA42559716,SE672467-148031,Spjutsjön,Spjutsjön,,,2004-10-05,,SLU,0.5,5.7,73.399,
WA42559716,SE672467-148031,Spjutsjön,Spjutsjön,,,2004-10-05,,SLU,20.5,,,3.021
WA42559716,SE672467-148031,Spjutsjön,Spjutsjön,,,2005-10-12,,SLU,0.5,6.5,60.879,
WA42559716,SE672467-148031,Spjutsjön,Spjutsjön,,,2005-10-12,,SLU,20,,,3
WA42559716,SE672467-148031,Spjutsjön,Spjutsjön,,,2006-10-23,,SLU,0.5,6.476,63.938,
WA42559716,SE672467-148031,Spjutsjön,Spjutsjön,,,2006-10-23,,SLU,22,,,3
WA42559716,SE672467-148031,Spjutsjön,Spjutsjön,,,2007-10-12,,SLU,0.5,6,61.742,
WA42559716,SE672467-148031,Spjutsjön,Spjutsjön,,,2007-10-12,,SLU,20,,,3.02
WA42559716,SE672467-148031,Spjutsjön,Spjutsjön,,,2008-10-21,,SLU,0.5,6.4,58.883,
WA42559716,SE672467-148031,Spjutsjön,Spjutsjön,,,2008-10-21,,SLU,21,,,3
WA42559716,SE672467-148031,Spjutsjön,Spjutsjön,,,2009-10-21,,SLU,0.5,6.476,66.254,
WA42559716,SE672467-148031,Spjutsjön,Spjutsjön,,,2009-10-21,,SLU,21.5,,,3.125
WA42559716,SE672467-148031,Spjutsjön,Spjutsjön,,,2010-10-19,,SLU,0.5,6.136,75.22,
WA42559716,SE672467-148031,Spjutsjön,Spjutsjön,,,2010-10-19,,SLU,21,,,3.133
WA42559716,SE672467-148031,Spjutsjön,Spjutsjön,,,2011-10-19,,SLU,0,6.048,90.975,
WA42559716,SE672467-148031,Spjutsjön,Spjutsjön,,,2011-10-19,,SLU,20,,,3
WA42559716,SE672467-148031,Spjutsjön,Spjutsjön,,,2012-10-23,,SLU,20,,,3.219
WA42559716,SE672467-148031,Spjutsjön,Spjutsjön,,,2012-10-24,,SLU,0,6.3,71.202,
WA42559716,SE672467-148031,Spjutsjön,Spjutsjön,,,2013-10-08,,SLU,,5.952,78.936,
WA42559716,SE672467-148031,Spjutsjön,Spjutsjön,,,2013-10-08,,SLU,20.4,,,3
WA42559716,SE672467-148031,Spjutsjön,Spjutsjön,,,2014-10-12,,SLU,,5.95,74.942,
WA42559716,SE672467-148031,Spjutsjön,Spjutsjön,,,2014-10-12,,SLU,20.15,,,3
WA42559716,SE672467-148031,Spjutsjön,Spjutsjön,,,2015-10-14,,SLU,,6.045,80.89,
WA42559716,SE672467-148031,Spjutsjön,Spjutsjön,,,2015-10-14,,SLU,20.55,,,3
WA42559716,SE672467-148031,Spjutsjön,Spjutsjön,,,2016-10-13,,SLU,0.55,5.929,77.352,
WA42559716,SE672467-148031,Spjutsjön,Spjutsjön,,,2016-10-13,,SLU,20.6,,,3.013
WA42559716,SE672467-148031,Spjutsjön,Spjutsjön,,,2017-10-12,,SLU,0.5,6.15,59.539,
WA42559716,SE672467-148031,Spjutsjön,Spjutsjön,,,2017-10-12,,SLU,20.85,,,3.22
