Vatten_ID,EU_CD,Station,Obspoint_ID,Longitude,Latitude,Date,Time,Institution,Depth,EQR8,AindexW5,EindexW3
WA56806681,NW615311-134527,Hela sjön,Hela sjön,13.35686,55.48797,1998-07-27,,SLU,,0.3431365658,0.6878807462,0.0397139487
WA56806681,NW615311-134527,Hela sjön,Hela sjön,13.35686,55.48797,2002-07-19,,SLU,,0.4173530448,0.6396578227,0.0461509266
WA56806681,NW615311-134527,Hela sjön,Hela sjön,13.35686,55.48797,2005-07-13,,SLU,,0.4602707793,0.805741975,0.026778417
WA56806681,NW615311-134527,Hela sjön,Hela sjön,13.35686,55.48797,2012-07-18,,SLU,,0.7040244942,0.6671813373,0.0849215506
WA56806681,NW615311-134527,Hela sjön,Hela sjön,13.35686,55.48797,2018-07-23,,SLU,,0.462523011,0.7434691585,0.0294948696
WA92239891,SE615375-137087,Hela sjön,Hela sjön,13.76197,55.4963,1994-07-09,,SLU,,0.3556715507,0.5511906552,0.1818182442
WA92239891,SE615375-137087,Hela sjön,Hela sjön,13.76197,55.4963,1995-07-12,,SLU,,0.4115516535,0.5428125967,0.0569292086
WA92239891,SE615375-137087,Hela sjön,Hela sjön,13.76197,55.4963,1996-07-11,,SLU,,0.4141372422,0.7474381821,0.0590034087
WA92239891,SE615375-137087,Hela sjön,Hela sjön,13.76197,55.4963,1999-07-12,,SLU,,0.4677714836,0.6406001382,0.0283738101
WA92239891,SE615375-137087,Hela sjön,Hela sjön,13.76197,55.4963,2000-07-21,,SLU,,0.3643365778,0.6201214176,0.0839007755
WA92239891,SE615375-137087,Hela sjön,Hela sjön,13.76197,55.4963,2003-07-15,,SLU,,0.4755694066,0.6754697287,0.0638619882
WA92239891,SE615375-137087,Hela sjön,Hela sjön,13.76197,55.4963,2006-07-12,,SLU,,0.491393885,0.5206560021,0.127200787
WA92239891,SE615375-137087,Hela sjön,Hela sjön,13.76197,55.4963,2010-07-23,,SLU,,0.3896885984,0.6991698527,0.0397720885
WA92239891,SE615375-137087,Hela sjön,Hela sjön,13.76197,55.4963,2016-07-22,,SLU,,0.5665851089,0.6366496206,0.0794770024
,,Hela sjön,Hela sjön,13.07489,55.68382,2005-07-07,,SLU,,0.2170076922,0.6297985611,0.5046918304
WA93795099,SE617666-135851,Hela sjön,Hela sjön,13.55481,55.6985,2011-07-18,,SLU,,0.3532401949,0.3304483942,0.2831104525
WA94704410,SE617797-135339,Hela sjön,Hela sjön,13.47275,55.70874,1999-07-09,,SLU,,0.4835389842,0.8347138585,0.0281047849
WA94704410,SE617797-135339,Hela sjön,Hela sjön,13.47275,55.70874,2003-08-25,,SLU,,0.3517255706,0.7121769819,0.4150454363
