Vatten_ID,EU_CD,Station,Obspoint_ID,Longitude,Latitude,Date,Time,Institution,Depth,TrophicMacrophyteIndex
WA42559716,SE672467-148031,Spjutsjön,Spjutsjön,,,2015-06-25,,SLU,,7.529
WA97078589,SE663365-161779,Edasjön,Edasjön,,,2012-08-01,,SLU,,6.561
WA97078589,SE663365-161779,Edasjön,Edasjön,,,2018-08-14,,SLU,,6.705
WA42018902,SE665654-149206,Mäsen,Mäsen,,,2017-08-10,,SLU,,8.31
WA23078743,SE667151-149602,Hällsjön,Hällsjön,,,2012-08-20,,SLU,,8.326
WA23078743,SE667151-149602,Hällsjön,Hällsjön,,,2018-08-27,,SLU,,7.711
WA67930382,SE672729-138082,Gipsjön,Gipsjön,,,2014-06-24,,SLU,,8.5
WA79403718,SE664410-136192,Översjön,Översjön,,,2013-07-05,,SLU,,8.173
WA79262932,SE708619-162132,Remmarsjön,Remmarsjön,,,2017-07-18,,SLU,,8.13
WA38350845,SE704955-159090,Hällvattnet,Hällvattnet,,,2016-08-30,,SLU,,8.404
WA74960253,SE665175-157559,Siggeforasjön,Siggeforasjön,,,2014-08-28,,SLU,,8.346
WA93163816,SE623624-141149,Bäen,Bäen,,,2014-09-05,,SLU,,7.692
WA51513798,SE751252-175433,Valkeajärvi,Valkeajärvi,,,2014-08-20,,SLU,,8.522
WA57901934,SE698918-158665,Valasjön,Valasjön,,,2015-08-25,,SLU,,8.541
WA12885229,SE633344-130068,Skärsjön,Skärsjön,,,2014-09-04,,SLU,,8.184
WA49065685,SE758677-161050,Latnjajaure,Latnjajaure,,,2017-08-13,,SLU,,8
WA21863308,SE624421-147234,Sännen,Sännen,,,2015-07-01,,SLU,,7.957
WA43427014,SE622803-144609,Svinarydsjön,Svinarydsjön,,,2012-06-19,,SLU,,8.38
WA43427014,SE622803-144609,Svinarydsjön,Svinarydsjön,,,2018-08-15,,SLU,,8.38
WA49933782,SE624038-143063,Örsjön,Örsjön,,,2012-06-18,,SLU,,8.4
WA49933782,SE624038-143063,Örsjön,Örsjön,,,2018-08-15,,SLU,,8.125
WA20819678,SE632231-136476,Harasjön,Harasjön,,,2013-07-17,,SLU,,8.257
,SE630558-134327,Svartesjön,Svartesjön,,,2013-07-17,,SLU,,8.25
WA43585030,SE628606-133205,St Skärsjön,St Skärsjön,,,2016-08-18,,SLU,,8.295
WA80286207,SE704082-148125,Fyrsjön,Fyrsjön,,,2012-08-01,,SLU,,7.262
WA80286207,SE704082-148125,Fyrsjön,Fyrsjön,,,2018-07-30,,SLU,,7.584
WA31838586,SE652707-159032,Björken,Björken,,,2013-08-30,,SLU,,8.154
WA87259643,SE629570-135470,Rammsjön,Rammsjön,,,2017-07-08,,SLU,,8
WA89076362,SE638665-129243,Lilla Öresjön,Lilla Öresjön,,,2013-07-15,,SLU,,8.295
