Vatten_ID,EU_CD,Station,Obspoint_ID,Longitude,Latitude,Date,Time,Institution,Depth,DepthMin,DepthMax,Biovol,BiovolGony,NspeciesPhytoplankton,PropCyanobacteria,TrophicPlanktonIndex,PhytoplanktonTrophicIndex
WA42559716,SE672467-148031,Spjutsjön,Spjutsjön,,,2002-08-14,,SLU,2,0.00,4.00,0.412,0,40,0.01599,-2.346,-0.485
WA42559716,SE672467-148031,Spjutsjön,Spjutsjön,,,2003-08-14,,SLU,2,0.00,4.00,0.28,0,37,0.16146,-1.777,-0.516
WA42559716,SE672467-148031,Spjutsjön,Spjutsjön,,,2004-08-09,,SLU,2,0.00,4.00,0.122,0,44,0.03854,-1.305,-0.747
WA42559716,SE672467-148031,Spjutsjön,Spjutsjön,,,2005-08-15,,SLU,2,0.00,4.00,0.185,0,37,0.01318,-1.768,-0.126
WA42559716,SE672467-148031,Spjutsjön,Spjutsjön,,,2006-08-12,,SLU,2,0.00,4.00,0.197,0,41,0.0177,-1.845,-0.401
WA42559716,SE672467-148031,Spjutsjön,Spjutsjön,,,2007-08-18,,SLU,2,0.00,4.00,0.211,0,43,0.03403,-1.672,-0.628
WA42559716,SE672467-148031,Spjutsjön,Spjutsjön,,,2008-08-16,,SLU,2,0.00,4.00,0.126,0,41,0.02092,-1.655,-0.292
WA42559716,SE672467-148031,Spjutsjön,Spjutsjön,,,2009-08-18,,SLU,2,0.00,4.00,0.242,0,49,0.03096,-1.595,-0.219
WA42559716,SE672467-148031,Spjutsjön,Spjutsjön,,,2010-08-10,,SLU,2,0.00,4.00,0.234,0,43,0.08239,-1.198,-0.484
WA42559716,SE672467-148031,Spjutsjön,Spjutsjön,,,2011-08-11,,SLU,2,0.00,4.00,0.971,0,38,0.03888,-2.167,-0.362
WA42559716,SE672467-148031,Spjutsjön,Spjutsjön,,,2012-08-27,,SLU,2,0.00,4.00,0.28,0.001,53,0.02166,-1.198,-0.587
WA42559716,SE672467-148031,Spjutsjön,Spjutsjön,,,2013-08-10,,SLU,2,0.00,4.00,0.286,0,33,0.02369,-1.367,-0.347
WA42559716,SE672467-148031,Spjutsjön,Spjutsjön,,,2014-08-12,,SLU,2,0.00,4.00,0.564,0,39,0.00912,-1.396,-0.519
WA42559716,SE672467-148031,Spjutsjön,Spjutsjön,,,2015-08-11,,SLU,2,0.00,4.00,0.116,0,35,0.07597,-1.776,-0.844
WA42559716,SE672467-148031,Spjutsjön,Spjutsjön,,,2016-08-10,,SLU,2,0.00,4.00,0.45,0,33,0.08554,-2,0.37
WA42559716,SE672467-148031,Spjutsjön,Spjutsjön,,,2017-08-15,,SLU,2,0.00,4.00,0.245,0,34,0.00607,-2.082,-0.938
WA42559716,SE672467-148031,Spjutsjön,Spjutsjön,,,2018-08-22,,SLU,2,0.00,4.00,0.287,0,40,0.14569,-1.762,-0.361
WA97078589,SE663365-161779,Edasjön,Edasjön,,,2002-08-21,,SLU,1,0.00,2.00,4.416,2.034,68,0.27685,2.55,0.389
WA97078589,SE663365-161779,Edasjön,Edasjön,,,2003-08-21,,SLU,1,0.00,2.00,3.513,0,62,0.18672,2.292,0.458
WA97078589,SE663365-161779,Edasjön,Edasjön,,,2004-08-17,,SLU,1,0.00,2.00,2.827,0.168,68,0.22602,1.97,0.403
WA97078589,SE663365-161779,Edasjön,Edasjön,,,2005-08-16,,SLU,1,0.00,2.00,2.498,0.016,47,0.78244,2.76,1.269
WA97078589,SE663365-161779,Edasjön,Edasjön,,,2006-08-15,,SLU,1,0.00,2.00,1.897,0,59,0.30644,1.803,0.398
WA97078589,SE663365-161779,Edasjön,Edasjön,,,2007-08-21,,SLU,1,0.00,2.00,9.36,0,50,0.47229,2.553,0.995
WA97078589,SE663365-161779,Edasjön,Edasjön,,,2008-08-18,,SLU,1,0.00,2.00,3.774,0.104,59,0.30647,2.457,0.886
WA97078589,SE663365-161779,Edasjön,Edasjön,,,2009-08-12,,SLU,1,0.00,2.00,5.305,0,40,0.90436,2.953,1.449
WA97078589,SE663365-161779,Edasjön,Edasjön,,,2010-08-26,,SLU,1,0.00,2.00,3.171,0.009,68,0.30643,2.067,0.613
WA97078589,SE663365-161779,Edasjön,Edasjön,,,2011-08-22,,SLU,1,0.00,2.00,6.603,0.135,61,0.84403,1.99,1.397
WA97078589,SE663365-161779,Edasjön,Edasjön,,,2012-08-15,,SLU,1,0.00,2.00,13.77,8.93,36,0.2616,2.834,0.393
WA97078589,SE663365-161779,Edasjön,Edasjön,,,2013-08-28,,SLU,1,0.00,2.00,2.071,0.871,45,0.01912,0.681,0.111
WA97078589,SE663365-161779,Edasjön,Edasjön,,,2014-08-18,,SLU,1,0.00,2.00,8.827,5.446,37,0.04124,1.252,0.182
WA97078589,SE663365-161779,Edasjön,Edasjön,,,2015-08-27,,SLU,1,0.00,2.00,9.79,6.698,37,0.15439,2.399,0.248
WA97078589,SE663365-161779,Edasjön,Edasjön,,,2016-08-18,,SLU,1,0.00,2.00,4.979,0.003,48,0.74356,2.531,1.297
WA97078589,SE663365-161779,Edasjön,Edasjön,,,2017-08-16,,SLU,1,0.00,2.00,1.472,0,27,0.00818,-0.207,-0.279
WA97078589,SE663365-161779,Edasjön,Edasjön,,,2018-08-24,,SLU,1,0.00,2.00,1.83,0,33,0.04202,2.055,0.301
WA42018902,SE665654-149206,Mäsen,Mäsen,,,2002-08-09,,SLU,2,0.00,4.00,0.591,0,49,0.06731,-1.657,0.134
WA42018902,SE665654-149206,Mäsen,Mäsen,,,2003-08-14,,SLU,2,0.00,4.00,0.618,0,43,0.00479,-1.51,-0.265
WA42018902,SE665654-149206,Mäsen,Mäsen,,,2004-08-10,,SLU,2,0.00,4.00,0.406,0,50,0.03354,-1.562,-0.145
WA42018902,SE665654-149206,Mäsen,Mäsen,,,2005-08-20,,SLU,2,0.00,4.00,0.477,0,52,0.01759,-1.449,-0.499
WA42018902,SE665654-149206,Mäsen,Mäsen,,,2006-08-16,,SLU,2,0.00,4.00,0.364,0,60,0.01343,-1.255,-0.273
WA42018902,SE665654-149206,Mäsen,Mäsen,,,2007-08-19,,SLU,2,0.00,4.00,0.761,0,56,0.07593,-1.027,-0.057
WA42018902,SE665654-149206,Mäsen,Mäsen,,,2008-08-20,,SLU,2,0.00,4.00,0.463,0,52,0.08109,-1.364,-0.148
WA42018902,SE665654-149206,Mäsen,Mäsen,,,2009-08-21,,SLU,2,0.00,4.00,0.438,0,46,0.13192,-1.193,-0.445
WA42018902,SE665654-149206,Mäsen,Mäsen,,,2010-08-11,,SLU,2,0.00,4.00,1.215,0,64,0.03104,-1.042,-0.666
WA42018902,SE665654-149206,Mäsen,Mäsen,,,2011-08-13,,SLU,2,0.00,4.00,0.67,0,57,0.10577,-0.401,-0.37
