Vatten_ID,EU_CD,Station,Obspoint_ID,Longitude,Latitude,Date,Time,Institution,Depth,BenthicInvertebratesASPT,BenthicInvertebratesDJ,BenthicInvertebratesMISA
WA65070323,SE614886-136002,Skivarpsån Skivarp,Skivarpsån Skivarp,,,2008-05-15,,SLU,,4.692,10,42.374
WA65070323,SE614886-136002,Skivarpsån Skivarp,Skivarpsån Skivarp,,,2008-05-15,,SLU,,5.091,10,42.067
WA28623026,SE631338-129833,"Ätran, Falkenberg","Ätran, Falkenberg",,,2007-03-14,,SLU,,6.414,13,57.007
WA28623026,SE631338-129833,"Ätran, Falkenberg","Ätran, Falkenberg",,,2007-11-15,,SLU,,5.88,12,72.157
WA28623026,SE631338-129833,"Ätran, Falkenberg","Ätran, Falkenberg",,,2008-12-18,,SLU,,6.25,12,82.459
WA28623026,SE631338-129833,"Ätran, Falkenberg","Ätran, Falkenberg",,,2009-10-06,,SLU,,5.97,11,85.484
WA28623026,SE631338-129833,"Ätran, Falkenberg","Ätran, Falkenberg",,,2011-03-09,,SLU,,6.152,13,82.401
WA28623026,SE631338-129833,"Ätran, Falkenberg","Ätran, Falkenberg",,,2011-10-27,,SLU,,6.44,13,54.659
WA28623026,SE631338-129833,"Ätran, Falkenberg","Ätran, Falkenberg",,,2014-11-12,,SLU,,6.444,12,71.873
WA46036436,SE626827-132577,Smedjeån V. Mellby,Smedjeån V. Mellby,,,2007-11-20,,SLU,,6.05,10,52.527
WA46036436,SE626827-132577,Smedjeån V. Mellby,Smedjeån V. Mellby,,,2010-10-20,,SLU,,5,7,52.116
WA46036436,SE626827-132577,Smedjeån V. Mellby,Smedjeån V. Mellby,,,2013-10-02,,SLU,,6,11,60.57
WA46036436,SE626827-132577,Smedjeån V. Mellby,Smedjeån V. Mellby,,,2016-11-07,,SLU,0.6,5.88,9,55.828
WA73538296,SE665649-161397,Sävjaån Ingvasta,Sävjaån Ingvasta,,,2007-10-31,,SLU,0.5,5.8,9,31.598
WA73538296,SE665649-161397,Sävjaån Ingvasta,Sävjaån Ingvasta,,,2008-11-03,,SLU,0.5,5.952,8,35.466
WA73538296,SE665649-161397,Sävjaån Ingvasta,Sävjaån Ingvasta,,,2009-11-03,,SLU,0.5,5.9,10,51.249
WA73538296,SE665649-161397,Sävjaån Ingvasta,Sävjaån Ingvasta,,,2010-10-28,,SLU,0.5,5.815,9,53.695
WA73538296,SE665649-161397,Sävjaån Ingvasta,Sävjaån Ingvasta,,,2011-11-21,,SLU,,5.429,9,38.6
WA73538296,SE665649-161397,Sävjaån Ingvasta,Sävjaån Ingvasta,,,2012-11-01,,SLU,,6,11,40.571
WA73538296,SE665649-161397,Sävjaån Ingvasta,Sävjaån Ingvasta,,,2013-10-31,,SLU,,5.733,10,50.186
WA73538296,SE665649-161397,Sävjaån Ingvasta,Sävjaån Ingvasta,,,2014-10-23,,SLU,,5.474,8,35.73
WA73538296,SE665649-161397,Sävjaån Ingvasta,Sävjaån Ingvasta,,,2015-10-15,,SLU,,6.2,11,48.706
WA73538296,SE665649-161397,Sävjaån Ingvasta,Sävjaån Ingvasta,,,2016-10-14,,SLU,0.3,5.955,7,25.769
WA73538296,SE665649-161397,Sävjaån Ingvasta,Sävjaån Ingvasta,,,2017-10-24,,SLU,0.6,5,8,19.068
WA73538296,SE665649-161397,Sävjaån Ingvasta,Sävjaån Ingvasta,,,2018-10-17,,SLU,0.2,5.278,9,44.186
WA99367298,SE694231-133350,Ljusnan Funäsdalen,Ljusnan Funäsdalen,,,2007-09-28,,SLU,0.5,6.731,14,58.82
WA99367298,SE694231-133350,Ljusnan Funäsdalen,Ljusnan Funäsdalen,,,2008-09-18,,SLU,0.5,6.964,14,72.265
WA99367298,SE694231-133350,Ljusnan Funäsdalen,Ljusnan Funäsdalen,,,2009-10-15,,SLU,0.5,6.926,14,73.761
WA99367298,SE694231-133350,Ljusnan Funäsdalen,Ljusnan Funäsdalen,,,2010-09-18,,SLU,0.5,6.84,15,54.931
WA99367298,SE694231-133350,Ljusnan Funäsdalen,Ljusnan Funäsdalen,,,2011-10-01,,SLU,,6.897,14,68.953
WA99367298,SE694231-133350,Ljusnan Funäsdalen,Ljusnan Funäsdalen,,,2012-09-23,,SLU,,7.107,14,64.059
WA99367298,SE694231-133350,Ljusnan Funäsdalen,Ljusnan Funäsdalen,,,2013-09-23,,SLU,,7.107,14,58.805
WA99367298,SE694231-133350,Ljusnan Funäsdalen,Ljusnan Funäsdalen,,,2014-09-21,,SLU,,6.929,15,66.495
WA99367298,SE694231-133350,Ljusnan Funäsdalen,Ljusnan Funäsdalen,,,2015-09-19,,SLU,,7,14,69.544
WA99367298,SE694231-133350,Ljusnan Funäsdalen,Ljusnan Funäsdalen,,,2016-09-04,,SLU,0.35,7.24,14,51.831
WA99367298,SE694231-133350,Ljusnan Funäsdalen,Ljusnan Funäsdalen,,,2017-09-07,,SLU,0.47,7.16,14,59.389
WA79424619,SE641827-139990,Domneån Utl. Vättern,Domneån Utl. Vättern,,,2003-10-28,,SLU,0.5,5.824,12,49.976
WA79424619,SE641827-139990,Domneån Utl. Vättern,Domneån Utl. Vättern,,,2004-10-19,,SLU,0.5,5.933,11,45.811
WA79424619,SE641827-139990,Domneån Utl. Vättern,Domneån Utl. Vättern,,,2005-11-01,,SLU,0.5,5.682,11,64.29
WA79424619,SE641827-139990,Domneån Utl. Vättern,Domneån Utl. Vättern,,,2006-10-28,,SLU,0.5,5.55,11,48.043
WA44293011,SE643455-140114,Svedån Sved,Svedån Sved,,,2002-11-21,,SLU,0.5,6.9,15,33.462
WA44293011,SE643455-140114,Svedån Sved,Svedån Sved,,,2003-10-18,,SLU,0.5,6.731,13,40.708
WA44293011,SE643455-140114,Svedån Sved,Svedån Sved,,,2004-11-08,,SLU,0.5,6.652,14,16.545
WA44293011,SE643455-140114,Svedån Sved,Svedån Sved,,,2005-09-21,,SLU,0.5,6.35,13,34.906
WA44293011,SE643455-140114,Svedån Sved,Svedån Sved,,,2006-10-28,,SLU,0.5,6.375,13,39.049
WA44293011,SE643455-140114,Svedån Sved,Svedån Sved,,,2007-10-30,,SLU,0.5,6.609,15,21.566
WA44293011,SE643455-140114,Svedån Sved,Svedån Sved,,,2008-10-27,,SLU,0.5,5.462,11,40.723
WA44293011,SE643455-140114,Svedån Sved,Svedån Sved,,,2009-10-16,,SLU,0.5,6.769,15,31.312
WA44293011,SE643455-140114,Svedån Sved,Svedån Sved,,,2010-10-23,,SLU,0.5,6.682,14,15.665
WA44293011,SE643455-140114,Svedån Sved,Svedån Sved,,,2011-10-13,,SLU,,6.852,14,26.881
WA44293011,SE643455-140114,Svedån Sved,Svedån Sved,,,2012-10-02,,SLU,,6.435,14,34.385
WA44293011,SE643455-140114,Svedån Sved,Svedån Sved,,,2013-10-22,,SLU,,7.08,14,41.765
WA44293011,SE643455-140114,Svedån Sved,Svedån Sved,,,2013-10-22,,SLU,,7.08,14,41.765
WA44293011,SE643455-140114,Svedån Sved,Svedån Sved,,,2014-10-03,,SLU,,6.5,14,37.296
WA44293011,SE643455-140114,Svedån Sved,Svedån Sved,,,2015-10-05,,SLU,,6.667,14,38.812
WA44293011,SE643455-140114,Svedån Sved,Svedån Sved,,,2016-10-04,,SLU,0.35,6.462,14,41.545
WA44293011,SE643455-140114,Svedån Sved,Svedån Sved,,,2017-10-04,,SLU,0.5,6.48,14,28.447
WA78517976,SE617027-137477,Tolångaån Tolånga,Tolångaån Tolånga,,,2007-10-17,,SLU,0.5,5.933,10,65.21
