Vatten_ID,EU_CD,Station,Obspoint_ID,Longitude,Latitude,Date,Time,Institution,Depth,BenthicDiatomsIPS,BenthicDiatomsACID,BenthicDiatomsPctPT,BenthicDiatomsTDI
WA92637595,SE669500-163246,Forsmarksån Johannisfors,Forsmarksån Johannisfors,,,2006-09-30,,SLU,,16.5,9.2,0.07,52.5
WA46036436,SE626827-132577,Smedjeån V. Mellby,Smedjeån V. Mellby,,,2012-08-21,,SLU,,16.5,6.2,0.062,32.8
WA46036436,SE626827-132577,Smedjeån V. Mellby,Smedjeån V. Mellby,,,2013-08-19,,SLU,,12.5,6.8,0.151,61.8
WA46036436,SE626827-132577,Smedjeån V. Mellby,Smedjeån V. Mellby,,,2014-09-17,,SLU,,14.8,6.6,0.1,48.7
WA46036436,SE626827-132577,Smedjeån V. Mellby,Smedjeån V. Mellby,,,2015-08-19,,SLU,0.3,16.1,6.7,0.066,35.3
WA46036436,SE626827-132577,Smedjeån V. Mellby,Smedjeån V. Mellby,,,2016-08-22,,SLU,0.3,13.3,8.3,0.214,76.2
WA73538296,SE665649-161397,Sävjaån Ingvasta,Sävjaån Ingvasta,,,2007-10-07,,SLU,,19.3,8,0.017,29.6
WA73538296,SE665649-161397,Sävjaån Ingvasta,Sävjaån Ingvasta,,,2008-09-30,,SLU,,17.5,7.3,0.036,33.8
WA73538296,SE665649-161397,Sävjaån Ingvasta,Sävjaån Ingvasta,,,2009-10-02,,SLU,,16.4,7.4,0.045,46.5
WA73538296,SE665649-161397,Sävjaån Ingvasta,Sävjaån Ingvasta,,,2010-10-28,,SLU,,17.1,6.8,0.037,48.6
WA73538296,SE665649-161397,Sävjaån Ingvasta,Sävjaån Ingvasta,,,2011-09-25,,SLU,,17.7,7.1,0.026,31.8
WA73538296,SE665649-161397,Sävjaån Ingvasta,Sävjaån Ingvasta,,,2012-09-30,,SLU,,18.4,7.4,0.01,33.8
WA73538296,SE665649-161397,Sävjaån Ingvasta,Sävjaån Ingvasta,,,2013-10-01,,SLU,,18.4,8.2,0.036,29.2
WA73538296,SE665649-161397,Sävjaån Ingvasta,Sävjaån Ingvasta,,,2014-09-30,,SLU,,19.1,8.9,0.017,28.9
WA73538296,SE665649-161397,Sävjaån Ingvasta,Sävjaån Ingvasta,,,2015-09-29,,SLU,,18.5,7.6,0.029,34.3
WA73538296,SE665649-161397,Sävjaån Ingvasta,Sävjaån Ingvasta,,,2016-09-23,,SLU,,19.3,8,0.025,27
WA73538296,SE665649-161397,Sävjaån Ingvasta,Sävjaån Ingvasta,,,2017-09-27,,SLU,0.5,19.7,9.3,0.01,27.2
WA99367298,SE694231-133350,Ljusnan Funäsdalen,Ljusnan Funäsdalen,,,2007-09-28,,SLU,,19.6,8.8,0,24.6
WA99367298,SE694231-133350,Ljusnan Funäsdalen,Ljusnan Funäsdalen,,,2008-09-18,,SLU,,18.9,7.9,0.014,24.7
WA99367298,SE694231-133350,Ljusnan Funäsdalen,Ljusnan Funäsdalen,,,2009-09-21,,SLU,,19.2,7.8,0.01,22.4
WA99367298,SE694231-133350,Ljusnan Funäsdalen,Ljusnan Funäsdalen,,,2010-09-18,,SLU,,19.5,8.3,0.007,24
WA99367298,SE694231-133350,Ljusnan Funäsdalen,Ljusnan Funäsdalen,,,2011-10-01,,SLU,,19.4,7.1,0.002,21.1
WA99367298,SE694231-133350,Ljusnan Funäsdalen,Ljusnan Funäsdalen,,,2012-09-23,,SLU,,19.6,8.1,0,25.3
WA99367298,SE694231-133350,Ljusnan Funäsdalen,Ljusnan Funäsdalen,,,2013-09-23,,SLU,,19.7,7.3,0.005,21.9
WA99367298,SE694231-133350,Ljusnan Funäsdalen,Ljusnan Funäsdalen,,,2014-09-21,,SLU,,19.5,7.2,0,21.5
WA99367298,SE694231-133350,Ljusnan Funäsdalen,Ljusnan Funäsdalen,,,2015-09-15,,SLU,,19.3,8.3,0,23.8
WA99367298,SE694231-133350,Ljusnan Funäsdalen,Ljusnan Funäsdalen,,,2016-09-04,,SLU,,19.7,8.5,0,22.5
WA99367298,SE694231-133350,Ljusnan Funäsdalen,Ljusnan Funäsdalen,,,2017-09-07,,SLU,0.5,19.6,7.5,0,22.8
WA44293011,SE643455-140114,Svedån Sved,Svedån Sved,,,2007-10-01,,SLU,,19.8,7.9,0.004,26.7
WA44293011,SE643455-140114,Svedån Sved,Svedån Sved,,,2008-09-28,,SLU,,19.5,6.7,0.007,25.2
WA44293011,SE643455-140114,Svedån Sved,Svedån Sved,,,2009-10-01,,SLU,,19.4,8,0.02,29.3
WA44293011,SE643455-140114,Svedån Sved,Svedån Sved,,,2010-09-28,,SLU,,19.6,7.7,0.017,26.2
WA44293011,SE643455-140114,Svedån Sved,Svedån Sved,,,2011-10-03,,SLU,,19.8,8.3,0.007,26.5
WA44293011,SE643455-140114,Svedån Sved,Svedån Sved,,,2013-09-18,,SLU,,18.7,7.2,0.017,28.6
WA44293011,SE643455-140114,Svedån Sved,Svedån Sved,,,2014-09-27,,SLU,,18.8,5.8,0.007,24.1
WA44293011,SE643455-140114,Svedån Sved,Svedån Sved,,,2015-09-14,,SLU,,19.3,6.5,0.01,25.4
WA44293011,SE643455-140114,Svedån Sved,Svedån Sved,,,2016-09-19,,SLU,,19.4,6.9,0.012,28.5
WA44293011,SE643455-140114,Svedån Sved,Svedån Sved,,,2017-09-20,,SLU,0.5,18.6,6,0.012,27.1
WA44293011,SE643455-140114,Svedån Sved,Svedån Sved,,,2018-09-16,,SLU,,17.8,6.1,0.018,40.3
WA78517976,SE617027-137477,Tolångaån Tolånga,Tolångaån Tolånga,,,2007-09-14,,SLU,,12.3,8.3,0.141,75.2
WA78517976,SE617027-137477,Tolångaån Tolånga,Tolångaån Tolånga,,,2008-09-17,,SLU,,14,8.2,0.118,79.4
WA78517976,SE617027-137477,Tolångaån Tolånga,Tolångaån Tolånga,,,2009-09-18,,SLU,,13.4,8.3,0.179,80.6
WA78517976,SE617027-137477,Tolångaån Tolånga,Tolångaån Tolånga,,,2010-09-16,,SLU,,13.6,8.5,0.183,72.5
WA78517976,SE617027-137477,Tolångaån Tolånga,Tolångaån Tolånga,,,2011-09-18,,SLU,,14.4,8.3,0.093,83.7
WA78517976,SE617027-137477,Tolångaån Tolånga,Tolångaån Tolånga,,,2011-09-24,,SLU,,13.7,8.3,0.118,86.9
WA78517976,SE617027-137477,Tolångaån Tolånga,Tolångaån Tolånga,,,2013-09-12,,SLU,,15.2,8.3,0.03,81.5
WA78517976,SE617027-137477,Tolångaån Tolånga,Tolångaån Tolånga,,,2014-09-21,,SLU,,13.1,8.5,0.279,85.7
WA78517976,SE617027-137477,Tolångaån Tolånga,Tolångaån Tolånga,,,2015-09-08,,SLU,,14.2,8.3,0.111,67.4
WA78517976,SE617027-137477,Tolångaån Tolånga,Tolångaån Tolånga,,,2016-09-11,,SLU,,14.9,8.4,0.048,84.3
WA78517976,SE617027-137477,Tolångaån Tolånga,Tolångaån Tolånga,,,2017-09-12,,SLU,0.5,15.1,8.6,0.042,84.1
WA14011444,SE617263-135608,Klingavälsån Vomb,Klingavälsån Vomb,,,2012-09-24,,SLU,,10.2,7.9,0.619,96.3
WA14011444,SE617263-135608,Klingavälsån Vomb,Klingavälsån Vomb,,,2013-09-12,,SLU,,12.9,8.7,0.287,82.8
WA14011444,SE617263-135608,Klingavälsån Vomb,Klingavälsån Vomb,,,2014-09-03,,SLU,,12,8.6,0.14,88.7
WA14011444,SE617263-135608,Klingavälsån Vomb,Klingavälsån Vomb,,,2015-09-08,,SLU,,13.8,7.8,0.063,78.1
WA14011444,SE617263-135608,Klingavälsån Vomb,Klingavälsån Vomb,,,2016-09-08,,SLU,,14.3,8.8,0.11,78
WA14011444,SE617263-135608,Klingavälsån Vomb,Klingavälsån Vomb,,,2017-09-12,,SLU,,10.4,8.1,0.552,93.2
WA14011444,SE617263-135608,Klingavälsån Vomb,Klingavälsån Vomb,,,2018-09-06,,SLU,,14.1,8.1,0.084,79.9
,SE650920-143244,Lommabäcken Nedre,Lommabäcken Nedre,,,2007-10-02,,SLU,,20,1,0,0.4
,SE650920-143244,Lommabäcken Nedre,Lommabäcken Nedre,,,2008-09-29,,SLU,,20,1.2,0,0
,SE650920-143244,Lommabäcken Nedre,Lommabäcken Nedre,,,2009-10-02,,SLU,,20,1.3,0,0.3
,SE650920-143244,Lommabäcken Nedre,Lommabäcken Nedre,,,2010-09-29,,SLU,,19.9,0.9,0,0.9
,SE650920-143244,Lommabäcken Nedre,Lommabäcken Nedre,,,2011-10-04,,SLU,,20,1.3,0,0
,SE650920-143244,Lommabäcken Nedre,Lommabäcken Nedre,,,2012-09-28,,SLU,,20,1.2,0,0.1
,SE650920-143244,Lommabäcken Nedre,Lommabäcken Nedre,,,2013-09-19,,SLU,,20,1.3,0,0.1
,SE650920-143244,Lommabäcken Nedre,Lommabäcken Nedre,,,2014-09-27,,SLU,,20,1.6,0,0.5
,SE650920-143244,Lommabäcken Nedre,Lommabäcken Nedre,,,2015-09-15,,SLU,,20,0.5,0,0.2
,SE650920-143244,Lommabäcken Nedre,Lommabäcken Nedre,,,2016-09-23,,SLU,,19.9,1.6,0,0.6
,SE650920-143244,Lommabäcken Nedre,Lommabäcken Nedre,,,2017-09-20,,SLU,0.5,20,0.9,0,1.4
WA37110481,SE758793-162214,Abiskojokk Röda Bron,Abiskojokk Röda Bron,,,2007-09-15,,SLU,,19.6,8.2,0.007,26.2
WA37110481,SE758793-162214,Abiskojokk Röda Bron,Abiskojokk Röda Bron,,,2008-09-12,,SLU,,19.7,8.2,0.009,25.7
WA37110481,SE758793-162214,Abiskojokk Röda Bron,Abiskojokk Röda Bron,,,2009-09-13,,SLU,,19.5,7.9,0.005,24.7
WA37110481,SE758793-162214,Abiskojokk Röda Bron,Abiskojokk Röda Bron,,,2010-08-31,,SLU,,20,9,0,25.5
WA37110481,SE758793-162214,Abiskojokk Röda Bron,Abiskojokk Röda Bron,,,2011-08-02,,SLU,,19.9,9.3,0,25.1
WA37110481,SE758793-162214,Abiskojokk Röda Bron,Abiskojokk Röda Bron,,,2012-09-09,,SLU,,20,9.6,0,25.2
