Vatten_ID,EU_CD,County,County_no
WA10000460,SE707521-169817,Västerbotten,24
WA10003310,SE684488-154313,Gävleborg,21
WA10004132,SE713248-142620,Jämtland,23
WA10006361,SE752894-154853,Norrbotten,25
WA10006388,SE683489-433245,Jämtland,23
WA10006388,SE683489-433245,Dalarna,20
WA10016904,SE745566-155325,Norrbotten,25
WA10031625,SE732341-668218,Norrbotten,25
WA10036090,SE766132-167880,Norrbotten,25
WA10039596,SE654853-472812,Örebro,18
WA10045242,SE687655-153299,Gävleborg,21
WA10047346,SE749406-183566,Norrbotten,25
WA10067812,SE731363-152727,Västerbotten,24
WA10083363,SE716831-591418,Västerbotten,24
WA10083840,SE625021-146874,Blekinge,10
WA10097783,SE683282-141489,Dalarna,20
WA10098770,SE643396-151423,Kalmar,08
WA10113838,SE677627-152641,Gävleborg,21
WA10118775,SE731415-172402,Norrbotten,25
WA10123882,SE749156-172485,Norrbotten,25
WA10130871,SE692669-151353,Västernorrland,22
WA10135226,SE686102-153144,Gävleborg,21
WA10141921,SE672383-149802,Dalarna,20
WA10149665,SE662498-142495,Örebro,18
WA10157564,SE627598-155069,Kalmar,08
WA10158032,SE703989-161568,Västernorrland,22
WA10159658,SE699040-151141,Jämtland,23
WA10168227,SE694234-447683,Jämtland,23
WA10176945,SE655132-158452,Södermanland,04
WA10177622,SE728526-172392,Norrbotten,25
WA10178882,SE646523-126170,Västra Götaland,14
WA10187436,SE705269-137796,Jämtland,23
WA10207661,SE623666-146141,Blekinge,10
WA10212324,SE670293-147112,Dalarna,20
WA10213377,SE624123-136639,Skåne,12
WA10217253,SE723800-147635,Västerbotten,24
WA10222188,SE709357-134647,Jämtland,23
WA10225101,SE678964-147792,Dalarna,20
WA10225217,SE744450-155830,Norrbotten,25
WA10227463,SE691733-157614,Västernorrland,22
WA10234516,SE731300-157813,Norrbotten,25
WA10237318,SE693320-131640,Jämtland,23
WA10249061,SE652923-127391,Västra Götaland,14
WA10250651,SE680175-143910,Dalarna,20
WA10255664,SE696927-150860,Jämtland,23
WA10261414,SE705030-150937,Västernorrland,22
WA10261881,SE714736-172235,Västerbotten,24
WA10273223,SE719474-147431,Västerbotten,24
WA10274907,SE696564-131818,Jämtland,23
WA10278414,SE700438-162403,Västernorrland,22
WA10281143,SE673398-156415,Gävleborg,21
WA10281954,SE641311-540291,Östergötland,05
WA10281954,SE641311-540291,Kalmar,08
WA10285737,SE740511-169258,Norrbotten,25
WA10285762,SE645579-545305,Östergötland,05
WA10307970,SE644938-126767,Västra Götaland,14
WA10316118,SE657689-130989,Värmland,17
WA10319618,SE689351-151308,Gävleborg,21
WA10319851,SE694385-154692,Västernorrland,22
WA10321345,SE703385-140025,Jämtland,23
WA10325141,SE658785-132156,Värmland,17
WA10329647,SE651820-150874,Östergötland,05
WA10329824,SE669158-161258,Uppsala,03
WA10330254,SE657638-494464,Örebro,18
WA10339072,SE693055-152381,Västernorrland,22
WA10341946,SE685812-147753,Gävleborg,21
WA10343395,SE749607-179945,Norrbotten,25
WA10349621,SE746982-155924,Norrbotten,25
WA10350574,SE676283-151495,Dalarna,20
WA10355693,SE756528-162865,Norrbotten,25
WA10357088,SE710524-145821,Jämtland,23
WA10358524,SE708938-165378,Västerbotten,24
WA10364650,SE705075-162577,Västernorrland,22
WA10366671,SE707183-162255,Västernorrland,22
WA10371274,SE669956-156563,Gävleborg,21
WA10378595,SE711139-152972,Jämtland,23
WA10378924,SE676548-152051,Gävleborg,21
WA10394387,SE698916-141992,Jämtland,23
WA10399443,SE633618-153971,Kalmar,08
WA10410879,SE706303-404909,Jämtland,23
WA10411696,SE733269-185542,Norrbotten,25
WA10412617,SE732243-180487,Norrbotten,25
WA10413554,SE684688-150194,Gävleborg,21
WA10447721,SE652051-325079,Västra Götaland,14
WA10451028,SE670314-157839,Gävleborg,21
WA10451028,SE670314-157839,Uppsala,03
WA10458278,SE675364-145110,Dalarna,20
WA10466718,SE720984-173258,Västerbotten,24
WA10468729,SE760838-170746,Norrbotten,25
WA10486629,SE662054-136712,Värmland,17
WA10487150,SE674475-150650,Dalarna,20
WA10512266,SE668987-145738,Dalarna,20
WA10515681,SE714022-165630,Västerbotten,24
WA10516849,SE731122-145061,Västerbotten,24
WA10524491,SE738870-182591,Norrbotten,25
