Vatten_ID,EU_CD,Municipality,Municipality_no
WA10000460,SE707521-169817,Umeå,2480
WA10003310,SE684488-154313,Hudiksvall,2184
WA10004132,SE713248-142620,Krokom,2309
WA10006361,SE752894-154853,Gällivare,2523
WA10006361,SE752894-154853,Jokkmokk,2510
WA10006388,SE683489-433245,Härjedalen,2361
WA10006388,SE683489-433245,Älvdalen,2039
WA10016904,SE745566-155325,Jokkmokk,2510
WA10031625,SE732341-668218,Arvidsjaur,2505
WA10036090,SE766132-167880,Kiruna,2584
WA10039596,SE654853-472812,Degerfors,1862
WA10039596,SE654853-472812,Laxå,1860
WA10045242,SE687655-153299,Hudiksvall,2184
WA10047346,SE749406-183566,Pajala,2521
WA10067812,SE731363-152727,Sorsele,2422
WA10083363,SE716831-591418,Vilhelmina,2462
WA10083840,SE625021-146874,Karlskrona,1080
WA10083840,SE625021-146874,Ronneby,1081
WA10097783,SE683282-141489,Mora,2062
WA10098770,SE643396-151423,Västervik,0883
WA10113838,SE677627-152641,Bollnäs,2183
WA10118775,SE731415-172402,Älvsbyn,2560
WA10123882,SE749156-172485,Gällivare,2523
WA10130871,SE692669-151353,Ånge,2260
WA10135226,SE686102-153144,Hudiksvall,2184
WA10141921,SE672383-149802,Falun,2080
WA10149665,SE662498-142495,Hällefors,1863
WA10157564,SE627598-155069,Mörbylånga,0840
WA10158032,SE703989-161568,Örnsköldsvik,2284
WA10159658,SE699040-151141,Bräcke,2305
WA10168227,SE694234-447683,Berg,2326
WA10168227,SE694234-447683,Härjedalen,2361
WA10176945,SE655132-158452,Gnesta,0461
WA10177622,SE728526-172392,Älvsbyn,2560
WA10178882,SE646523-126170,Orust,1421
WA10187436,SE705269-137796,Åre,2321
WA10207661,SE623666-146141,Ronneby,1081
WA10212324,SE670293-147112,Borlänge,2081
WA10213377,SE624123-136639,Hässleholm,1293
WA10217253,SE723800-147635,Vilhelmina,2462
WA10222188,SE709357-134647,Åre,2321
WA10225101,SE678964-147792,Rättvik,2031
WA10225217,SE744450-155830,Jokkmokk,2510
WA10227463,SE691733-157614,Sundsvall,2281
WA10234516,SE731300-157813,Arjeplog,2506
WA10237318,SE693320-131640,Härjedalen,2361
WA10249061,SE652923-127391,Dals-Ed,1438
WA10250651,SE680175-143910,Orsa,2034
WA10255664,SE696927-150860,Bräcke,2305
WA10261414,SE705030-150937,Sollefteå,2283
WA10261881,SE714736-172235,Skellefteå,2482
WA10273223,SE719474-147431,Dorotea,2425
WA10274907,SE696564-131818,Berg,2326
WA10274907,SE696564-131818,Härjedalen,2361
WA10278414,SE700438-162403,Kramfors,2282
WA10281143,SE673398-156415,Gävle,2180
WA10281954,SE641311-540291,Kinda,0513
WA10281954,SE641311-540291,Vimmerby,0884
WA10285737,SE740511-169258,Jokkmokk,2510
WA10285762,SE645579-545305,Linköping,0580
WA10307970,SE644938-126767,Stenungsund,1415
WA10316118,SE657689-130989,Säffle,1785
WA10316118,SE657689-130989,Årjäng,1765
WA10319618,SE689351-151308,Ljusdal,2161
WA10319851,SE694385-154692,Sundsvall,2281
WA10321345,SE703385-140025,Krokom,2309
WA10325141,SE658785-132156,Säffle,1785
WA10329647,SE651820-150874,Finspång,0562
WA10329824,SE669158-161258,Tierp,0360
WA10330254,SE657638-494464,Örebro,1880
WA10339072,SE693055-152381,Ånge,2260
