Vatten_ID,EU_CD,AdmUnit,WaterCategory,Region,Type,WB_name,RiverCatchmentSize,RiverSlope,LakeDepthCategory,LakeAlkalinity,LakeHumus,CoastDepthCategory,CoastStratification,CoastSalinity,CoastExposure,CoastResidenceTime,CoastSediment,CoastIceCover,LakeAltitude,AreaAgriculturePct,TPagricultureRefCond,Nutrient_loading,Organic_loading,Acidification,Harmful_substances,Hydrological_changes,Morphological_changes
WA10000460,SE707521-169817,Bottenviken,RW,Norra Sverige <200 m,2LM,Degerbäcken,<100 km2,0.1-2 %,,,,,,,,,,,,0.046,50,No,No,Yes,Yes,Yes,Yes
WA10003310,SE684488-154313,Bottenhavet,RW,Norra Sverige <200 m,2LB,Stängmyrbäcken,<100 km2,>2 %,,,,,,,,,,,,2.76,62,No,No,No,Yes,No,Yes
WA10004132,SE713248-142620,Bottenhavet,RW,Norra Sverige 200-800 m,3LB,WA10004132,<100 km2,>2 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,No
WA10006361,SE752894-154853,Bottenviken,RW,Norra Sverige 200-800 m,3MM,Svartijåkkå,100-1000 km2,0.1-2 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,No
WA10006388,SE683489-433245,Bottenhavet,RW,Norra Sverige 200-800 m,3MM,Rotnen,100-1000 km2,0.1-2 %,,,,,,,,,,,,0.043,0,No,No,Yes,Yes,Yes,Yes
WA10016904,SE745566-155325,Bottenviken,RW,Norra Sverige >800 m,4LB,Riggåivejåkåtj,<100 km2,>2 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,No
WA10031625,SE732341-668218,Bottenviken,RW,Norra Sverige 200-800 m,3LF,WA10031625,<100 km2,<0.1 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,No
WA10036090,SE766132-167880,Bottenviken,RW,Norra Sverige 200-800 m,3LB,WA10036090,<100 km2,>2 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,No
WA10039596,SE654853-472812,Norra Östersjön,RW,Södra Sverige,1LM,"Spettån, Sirsjön till inloppet i Toften",<100 km2,0.1-2 %,,,,,,,,,,,,0.204,90,No,No,Yes,Yes,No,Yes
WA10045242,SE687655-153299,Bottenhavet,RW,Norra Sverige <200 m,2LM,Njupfatbäcken,<100 km2,0.1-2 %,,,,,,,,,,,,1.28,0,No,No,No,Yes,No,Yes
WA10047346,SE749406-183566,Bottenviken,RW,Norra Sverige <200 m,2MF,Kaunisjoki,100-1000 km2,<0.1 %,,,,,,,,,,,,0.027,78,No,No,No,Yes,Yes,No
WA10067812,SE731363-152727,Bottenviken,RW,Norra Sverige 200-800 m,3LB,Båljabäcken,<100 km2,>2 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,No
WA10083363,SE716831-591418,Bottenhavet,RW,Norra Sverige 200-800 m,3LM,Sjulsbäcken,<100 km2,0.1-2 %,,,,,,,,,,,,0.597,61,No,No,No,Yes,No,Yes
WA10083840,SE625021-146874,Södra Östersjön,RW,Södra Sverige,1LM,MÅLLEBÄCKEN: Ronnebyån - Boklången,<100 km2,0.1-2 %,,,,,,,,,,,,8.33,40,No,No,Yes,Yes,No,No
WA10097783,SE683282-141489,Bottenhavet,RW,Norra Sverige 200-800 m,3LM,Sexan,<100 km2,0.1-2 %,,,,,,,,,,,,0,0,No,No,Yes,Yes,Yes,Yes
WA10098770,SE643396-151423,Södra Östersjön,RW,Södra Sverige,1LM,Tynnsån: Tynn - Tolången,<100 km2,0.1-2 %,,,,,,,,,,,,0.633,69,No,No,No,Yes,Yes,Yes
