Water_type	Qetype	Quality element	Quality subelement	Indicator	Measurement	WB_extrapolation	Nutrient loading	Organic loading	Acidification	Harmful substances	Hydrological changes	Morphological changes	General pressure
Coastal	Biological	Phytoplankton	Phytoplankton biomass	CoastChla	Chlorophyll a	X	X	NA	NA	NA	NA	NA	NA
Coastal	Biological	Phytoplankton	Phytoplankton biomass	CoastChlaEQR	Chlorophyll a	X	X	NA	NA	NA	NA	NA	NA
Coastal	Biological	Phytoplankton	Phytoplankton biomass	CoastBiovol	Phytoplankton biovolume	X	X	NA	NA	NA	NA	NA	NA
Coastal	Biological	Phytoplankton	Phytoplankton biomass	CoastBiovolEQR	Phytoplankton biovolume	X	X	NA	NA	NA	NA	NA	NA
Coastal	Biological	Benthic fauna	Composition and diversity	CoastBQI	BQI	X	X	X	NA	NA	NA	NA	NA
Coastal	Biological	Benthic vegetation	Composition and abundance	CoastMSMDI	MSMDI	X	X	NA	NA	NA	NA	NA	NA
Coastal	Supporting	Water transparency	Secchi depth	CoastSecchi	Secchi depth	X	X	X	NA	NA	NA	NA	NA
Coastal	Supporting	Water transparency	Secchi depth	CoastSecchiEQR	Secchi depth	X	X	X	NA	NA	NA	NA	NA
Coastal	Supporting	Nutrients	Nitrogen	CoastDINwinter	Dissolved Inorganic Nitrogen	X	X	NA	NA	NA	NA	NA	NA
Coastal	Supporting	Nutrients	Nitrogen	CoastDINwinterEQR	Dissolved Inorganic Nitrogen	X	X	NA	NA	NA	NA	NA	NA
Coastal	Supporting	Nutrients	Nitrogen	CoastTNsummer	Total Nitrogen	X	X	NA	NA	NA	NA	NA	NA
Coastal	Supporting	Nutrients	Nitrogen	CoastTNsummerEQR	Total Nitrogen	X	X	NA	NA	NA	NA	NA	NA
Coastal	Supporting	Nutrients	Nitrogen	CoastTNwinter	Total Nitrogen	X	X	NA	NA	NA	NA	NA	NA
Coastal	Supporting	Nutrients	Nitrogen	CoastTNwinterEQR	Total Nitrogen	X	X	NA	NA	NA	NA	NA	NA
Coastal	Supporting	Nutrients	Phosphorus	CoastDIPwinter	Dissolved Inorganic Phosphorus	X	X	NA	NA	NA	NA	NA	NA
Coastal	Supporting	Nutrients	Phosphorus	CoastDIPwinterEQR	Dissolved Inorganic Phosphorus	X	X	NA	NA	NA	NA	NA	NA
