Water_type	Indicator	var
Coastal	CoastBQI	BQI
Coastal	CoastMSMDI	MSMDI
Coastal	CoastChla	chla
Coastal	CoastChlaEQR	chla
Coastal	CoastBiovol	biovol
Coastal	CoastBiovolEQR	biovol
Coastal	CoastSecchi	secchi
Coastal	CoastSecchiEQR	secchi
Coastal	CoastDINwinter	DIN
Coastal	CoastDINwinterEQR	DIN
Coastal	CoastDIPwinter	DIP
Coastal	CoastDIPwinterEQR	DIP
Coastal	CoastTNsummer	TN
Coastal	CoastTNsummerEQR	TN
Coastal	CoastTNwinter	TN
Coastal	CoastTNwinterEQR	TN
Coastal	CoastTPsummer	TP
Coastal	CoastTPsummerEQR	TP
Coastal	CoastTPwinter	TP
Coastal	CoastTPwinterEQR	TP
Coastal	CoastOxygen	O2
Coastal	CoastBottomOxygen	O2_bot
Coastal	CoastHypoxicArea	HypoxicAreaPct
Lake	LakeBiovol	biovol
Lake	LakeBiovolEQR	biovol
Lake	LakePropCyano	Proportion_cyanobacteria
Lake	LakePropCyanoEQR	Proportion_cyanobacteria
Lake	LakeTPI	TrophicPlanktonIndex
Lake	LakeTPIEQR	TrophicPlanktonIndex
Lake	LakeNphytspec	Nspecies_phytoplankton
Lake	LakeNphytspecEQR	Nspecies_phytoplankton
Lake	LakeChla	chla
Lake	LakeChlaEQR	chla
Lake	LakeTMIEQR	TrophicMacrophyteIndex
Lake	LakeASPTEQR	BenthicInvertebratesASPT
Lake	LakeBQIEQR	BenthicInvertebratesBQI
Lake	LakeMILAEQR	BenthicInvertebratesMILA
Lake	LakeEQR8	EQR8
Lake	LakeAindexW5	AindexW5
Lake	LakeEindexW3	EindexW3
Lake	LakeTPsummerEQR	TP
Lake	LakeSecchiDepthEQR	SecchiDepth
River	RiverIPS	BenthicDiatomsIPS
River	RiverIPSEQR	BenthicDiatomsIPS
River	RiverPctPT	BenthicDiatomsPctPT
River	RiverTDI	BenthicDiatomsTDI
River	RiverACID	BenthicDiatomsACID
River	RiverASPTEQR	BenthicInvertebratesASPT
River	RiverDJEQR	BenthicInvertebratesDJ
River	RiverMISAEQR	BenthicInvertebratesMISA
River	RiverVIX	VIX
River	RiverVIXh	VIXh
River	RiverVIXsm	VIXsm
River	RiverTPEQR	TP
